"track_n","line","lyric","track_title","album","artist"
1,1,NA,"Intro","An Awesome Wave","alt-J"
1,2,"Shit them all festival, laugh at the beautiful","Intro","An Awesome Wave","alt-J"
1,3,"It's just a nod to the canon","Intro","An Awesome Wave","alt-J"
1,4,"Simple man Stan can't stand up on the beautiful","Intro","An Awesome Wave","alt-J"
1,5,"It's just a nod to the canon","Intro","An Awesome Wave","alt-J"
1,6,"Stickle brick, tickle quick, laugh at the beautiful","Intro","An Awesome Wave","alt-J"
1,7,"It's just a nod to the canon","Intro","An Awesome Wave","alt-J"
1,8,"Hustle over hot muscle shower, twitch off the beautiful","Intro","An Awesome Wave","alt-J"
1,9,"It's just a nod to the canon now","Intro","An Awesome Wave","alt-J"
1,10,"One, two, three... yeah","Intro","An Awesome Wave","alt-J"
3,1,"Bite chunks out of me","Tessellate","An Awesome Wave","alt-J"
3,2,"You're a shark and I'm swimming","Tessellate","An Awesome Wave","alt-J"
3,3,"My heart still thumps as I bleed","Tessellate","An Awesome Wave","alt-J"
3,4,"And all your friends come sniffing","Tessellate","An Awesome Wave","alt-J"
3,5,"Triangles are my favourite shape","Tessellate","An Awesome Wave","alt-J"
3,6,"Three points where two lines meet","Tessellate","An Awesome Wave","alt-J"
3,7,"Toe to toe, back to back, let's go","Tessellate","An Awesome Wave","alt-J"
3,8,"My love, it's very late","Tessellate","An Awesome Wave","alt-J"
3,9,"'Til morning comes","Tessellate","An Awesome Wave","alt-J"
3,10,"Let's tessellate","Tessellate","An Awesome Wave","alt-J"
3,11,"Go alone, my flower","Tessellate","An Awesome Wave","alt-J"
3,12,"And keep my whole lovely you","Tessellate","An Awesome Wave","alt-J"
3,13,"Wild green stones, alone, my lover","Tessellate","An Awesome Wave","alt-J"
3,14,"And keep us on my heart","Tessellate","An Awesome Wave","alt-J"
3,15,"Three guns and one goes off","Tessellate","An Awesome Wave","alt-J"
3,16,"One's empty, one's not quick enough","Tessellate","An Awesome Wave","alt-J"
3,17,"One burn, one red, one grin","Tessellate","An Awesome Wave","alt-J"
3,18,"Search the graves while the camera spins","Tessellate","An Awesome Wave","alt-J"
3,19,"Chunks of you will sink down to seals","Tessellate","An Awesome Wave","alt-J"
3,20,"Blubber rich in mourning","Tessellate","An Awesome Wave","alt-J"
3,21,"They'll nosh you up, yes, they'll nosh the love away","Tessellate","An Awesome Wave","alt-J"
3,22,"But it's fair to say, you will still haunt me","Tessellate","An Awesome Wave","alt-J"
3,23,"Triangles are my favourite shape","Tessellate","An Awesome Wave","alt-J"
3,24,"Three points where two lines meet","Tessellate","An Awesome Wave","alt-J"
3,25,"Toe to toe, back to back, let's go","Tessellate","An Awesome Wave","alt-J"
3,26,"My love, it's very late","Tessellate","An Awesome Wave","alt-J"
3,27,"'Til morning comes","Tessellate","An Awesome Wave","alt-J"
3,28,"Let's tessellate","Tessellate","An Awesome Wave","alt-J"
4,1,"She may contain the urge to run away","Breezeblocks","An Awesome Wave","alt-J"
4,2,"But hold her down with soggy clothes and breezeblocks","Breezeblocks","An Awesome Wave","alt-J"
4,3,"Cetirizine, your fever's gripped me again","Breezeblocks","An Awesome Wave","alt-J"
4,4,"Never kisses, all you ever send are fullstops (La la la la)","Breezeblocks","An Awesome Wave","alt-J"
4,5,"Do you know where the wild things go?","Breezeblocks","An Awesome Wave","alt-J"
4,6,"They go along to take your honey (La la la la)","Breezeblocks","An Awesome Wave","alt-J"
4,7,"Break down, now weep, build up breakfast","Breezeblocks","An Awesome Wave","alt-J"
4,8,"Now let's eat, my love, my love, love, love (La la la la)","Breezeblocks","An Awesome Wave","alt-J"
4,9,"Muscle to muscle and toe to toe","Breezeblocks","An Awesome Wave","alt-J"
4,10,"The fear has gripped me, but here I go","Breezeblocks","An Awesome Wave","alt-J"
4,11,"My heart sinks as I jump up","Breezeblocks","An Awesome Wave","alt-J"
4,12,"Your hand grips hand as my eyes shut","Breezeblocks","An Awesome Wave","alt-J"
4,13,"Do you know where the wild things go?","Breezeblocks","An Awesome Wave","alt-J"
4,14,"They go along to take your honey (La la la la)","Breezeblocks","An Awesome Wave","alt-J"
4,15,"Break down, now sleep, build up breakfast","Breezeblocks","An Awesome Wave","alt-J"
4,16,"Now let's eat, my love, my love, love, love (La la la la)","Breezeblocks","An Awesome Wave","alt-J"
4,17,"She bruises, coughs, she splutters pistol shots","Breezeblocks","An Awesome Wave","alt-J"
4,18,"Hold her down with soggy clothes and breezeblocks","Breezeblocks","An Awesome Wave","alt-J"
4,19,"She's morphine, queen of my vaccine","Breezeblocks","An Awesome Wave","alt-J"
4,20,"My love, my love, love, love (La la la la)","Breezeblocks","An Awesome Wave","alt-J"
4,21,"Muscle to muscle and toe to toe","Breezeblocks","An Awesome Wave","alt-J"
4,22,"The fear has gripped me, but here I go","Breezeblocks","An Awesome Wave","alt-J"
4,23,"My heart sinks as I jump up","Breezeblocks","An Awesome Wave","alt-J"
4,24,"Your hand grips hand as my eyes shut","Breezeblocks","An Awesome Wave","alt-J"
4,25,"She may contain the urge to run away","Breezeblocks","An Awesome Wave","alt-J"
4,26,"But hold her down with soggy clothes and breezeblocks","Breezeblocks","An Awesome Wave","alt-J"
4,27,"Germolene, disinfect the scene, my love, my love, love, love","Breezeblocks","An Awesome Wave","alt-J"
4,28,"Please don't go, I love you so, my lovely","Breezeblocks","An Awesome Wave","alt-J"
4,29,"Please don't go, please don't go","Breezeblocks","An Awesome Wave","alt-J"
4,30,"I love you so, I love you so","Breezeblocks","An Awesome Wave","alt-J"
4,31,"Please don't go, please don't go","Breezeblocks","An Awesome Wave","alt-J"
4,32,"I love you so, I love you so","Breezeblocks","An Awesome Wave","alt-J"
4,33,"Please break my heart (Hey!)","Breezeblocks","An Awesome Wave","alt-J"
4,34,"Please don't go, please don't go","Breezeblocks","An Awesome Wave","alt-J"
4,35,"I love you so, I love you so","Breezeblocks","An Awesome Wave","alt-J"
4,36,"Please don't go, please don't go","Breezeblocks","An Awesome Wave","alt-J"
4,37,"I love you so, I love you so","Breezeblocks","An Awesome Wave","alt-J"
4,38,"Please break my heart","Breezeblocks","An Awesome Wave","alt-J"
4,39,"Please don't go, I'll eat you whole","Breezeblocks","An Awesome Wave","alt-J"
4,40,"I love you so, I love you so, I love you so","Breezeblocks","An Awesome Wave","alt-J"
4,41,"Please don't go, I'll eat you whole","Breezeblocks","An Awesome Wave","alt-J"
4,42,"I love you so, I love you so","Breezeblocks","An Awesome Wave","alt-J"
4,43,"Please don't go, I'll eat you whole","Breezeblocks","An Awesome Wave","alt-J"
4,44,"I love you so, I love you so, I love you so","Breezeblocks","An Awesome Wave","alt-J"
4,45,"Please don't go, I'll eat you whole","Breezeblocks","An Awesome Wave","alt-J"
4,46,"I love you so, I love you so","Breezeblocks","An Awesome Wave","alt-J"
4,47,"Please don't go, I'll eat you whole","Breezeblocks","An Awesome Wave","alt-J"
4,48,"I love you so, I love you so, I love you so","Breezeblocks","An Awesome Wave","alt-J"
4,49,"Please don't go, I'll eat you whole","Breezeblocks","An Awesome Wave","alt-J"
4,50,"I love you so, I love you so","Breezeblocks","An Awesome Wave","alt-J"
4,51,"Please don't go, I'll eat you whole","Breezeblocks","An Awesome Wave","alt-J"
4,52,"I love you so, I love you so, I love you so","Breezeblocks","An Awesome Wave","alt-J"
4,53,"Please don't go, I'll eat you whole","Breezeblocks","An Awesome Wave","alt-J"
4,54,"I love you so, I love you so","Breezeblocks","An Awesome Wave","alt-J"
5,1,NA,"❦ (Guitar)","An Awesome Wave","alt-J"
6,1,"Something good","Something Good","An Awesome Wave","alt-J"
6,2,"Oh, something good","Something Good","An Awesome Wave","alt-J"
6,3,"Oh, something good","Something Good","An Awesome Wave","alt-J"
6,4,"Oh, something good tonight","Something Good","An Awesome Wave","alt-J"
6,5,"Will make me forget about you for now","Something Good","An Awesome Wave","alt-J"
6,6,"Get high, hit the floor before you go","Something Good","An Awesome Wave","alt-J"
6,7,"Matador, estocada, you're my blood sport","Something Good","An Awesome Wave","alt-J"
6,8,"But something good","Something Good","An Awesome Wave","alt-J"
6,9,"Oh, something good","Something Good","An Awesome Wave","alt-J"
6,10,"Oh, something good","Something Good","An Awesome Wave","alt-J"
6,11,"Oh, something good tonight","Something Good","An Awesome Wave","alt-J"
6,12,"Will make me forget about you for now","Something Good","An Awesome Wave","alt-J"
6,13,"Forty-eight thousand seats","Something Good","An Awesome Wave","alt-J"
6,14,"Bleats and roars for my memories of you","Something Good","An Awesome Wave","alt-J"
6,15,"Now that I'm fully clean","Something Good","An Awesome Wave","alt-J"
6,16,"The matador is no more and is dragged from view","Something Good","An Awesome Wave","alt-J"
6,17,"Get high, hit the floor before you go","Something Good","An Awesome Wave","alt-J"
6,18,"Matador, estocada, you're my blood sport","Something Good","An Awesome Wave","alt-J"
6,19,"Forty-eight thousand seats","Something Good","An Awesome Wave","alt-J"
6,20,"Bleats and roars for my memories of you","Something Good","An Awesome Wave","alt-J"
6,21,"Now that I am clean","Something Good","An Awesome Wave","alt-J"
6,22,"The matador is no more and is dragged from view","Something Good","An Awesome Wave","alt-J"
6,23,"But something good","Something Good","An Awesome Wave","alt-J"
6,24,"Oh, something good","Something Good","An Awesome Wave","alt-J"
6,25,"Oh, something good","Something Good","An Awesome Wave","alt-J"
6,26,"Oh, something good tonight","Something Good","An Awesome Wave","alt-J"
6,27,"Will make me forget about you for now","Something Good","An Awesome Wave","alt-J"
7,1,"Now dissolve me","Dissolve Me","An Awesome Wave","alt-J"
7,2,"Two tabs on your tongue","Dissolve Me","An Awesome Wave","alt-J"
7,3,"A herd of shepherds to herd the sheep","Dissolve Me","An Awesome Wave","alt-J"
7,4,"Sleep now, my only one","Dissolve Me","An Awesome Wave","alt-J"
7,5,"Broken sweethearts, ah","Dissolve Me","An Awesome Wave","alt-J"
7,6,"Who sleep apart","Dissolve Me","An Awesome Wave","alt-J"
7,7,"Both still pine for the other's side spine","Dissolve Me","An Awesome Wave","alt-J"
7,8,"Spoon as sleep starts","Dissolve Me","An Awesome Wave","alt-J"
7,9,"And pulse to pulse","Dissolve Me","An Awesome Wave","alt-J"
7,10,"Now, shush","Dissolve Me","An Awesome Wave","alt-J"
7,11,"She makes the sound, the sound the sea makes","Dissolve Me","An Awesome Wave","alt-J"
7,12,"To calm me down","Dissolve Me","An Awesome Wave","alt-J"
7,13,"I am see-through","Dissolve Me","An Awesome Wave","alt-J"
7,14,"Soap sliver, you're so thin","Dissolve Me","An Awesome Wave","alt-J"
7,15,"As I begin rubbing lathers out","Dissolve Me","An Awesome Wave","alt-J"
7,16,"Your state worsens on my skin","Dissolve Me","An Awesome Wave","alt-J"
7,17,"And gold","Dissolve Me","An Awesome Wave","alt-J"
7,18,"Fatless finger to lip","Dissolve Me","An Awesome Wave","alt-J"
7,19,"One-two, three-four, hush","Dissolve Me","An Awesome Wave","alt-J"
7,20,"And pulse to pulse","Dissolve Me","An Awesome Wave","alt-J"
7,21,"Now, shush","Dissolve Me","An Awesome Wave","alt-J"
7,22,"She makes the sound, the sound the sea makes","Dissolve Me","An Awesome Wave","alt-J"
7,23,"To calm me down","Dissolve Me","An Awesome Wave","alt-J"
7,24,"She makes the sound, the sound the sea makes","Dissolve Me","An Awesome Wave","alt-J"
7,25,"I'm tired now","Dissolve Me","An Awesome Wave","alt-J"
7,26,"Oh, oh, oh, oh, oh, oh","Dissolve Me","An Awesome Wave","alt-J"
7,27,"Oh-oh-oh, oh, oh, oh, oh-oh-oh, oh, oh, oh","Dissolve Me","An Awesome Wave","alt-J"
7,28,"Oh, oh, oh, oh, oh, oh","Dissolve Me","An Awesome Wave","alt-J"
